"SpName","modelName","pval","adjRsquare","MinMass_used","MaxMass_used","Mean_used","es_bio1","pval_bio1","adjPval_bio1","sig_bio1_f","sig_bio1_nf","bio1_mean","bio1_breadth","es_bio12","pval_bio12","adjPval_bio12","sig_bio12_f","sig_bio12_nf","bio12_mean","bio12_breadth","es_bio4","pval_bio4","adjPval_bio4","sig_bio4_f","sig_bio4_nf","bio4_mean","bio4_breadth","es_bio15","pval_bio15","adjPval_bio15","sig_bio15_f","sig_bio15_nf","bio15_mean","bio15_breadth"
"Onychomys_torridus","m8",8.41831089802572e-07,0.0818209509917185,6,43,21.56288586,0.117953329211221,0.0248351842551145,0.0524298334274639,"NS","Pos",151.834307162481,202,0.184151781381761,0.00481321401432664,0.0186791602175632,"Pos","Pos",318.741748249042,651,-9999,-9999,-9999,"Exl","Exl",6912.37549820067,4092,-0.12754540636586,0.0164328427691445,0.0458931109908822,"Neg","Neg",58.5521998220021,100
"Oreortyx_pictus","m8",7.97477045007968e-12,0.179371085111005,58,300,226.227549,0.0712502640414922,0.21308069456217,0.322449546638328,"NS","NS",99.3725418680283,130,0.10733730439855,0.0508993729765834,0.115680393128599,"NS","NS",865.031214856691,2058,-0.0760315341556837,0.171550485953947,0.283583456372851,"NS","NS",5817.7602200541,4136,-0.263020153897611,1.51051876252167e-06,1.88814845315209e-05,"Neg","Neg",64.5136014102915,61
"Oreoscoptes_montanus","m8",0.569340362746705,-0.00656452910505068,27,59,43.16513089,0.160898761213362,0.241565158475418,0.35610036292497,"NS","NS",112.935549535408,208,-0.0394194372038501,0.659725140522876,0.749687659685086,"NS","NS",367.714069422994,652,-0.0190736744625739,0.834904030996789,0.878275668970648,"NS","NS",7708.99708838646,5095,-0.0480030599486965,0.639243416863403,0.745783986340637,"NS","NS",46.9884497556776,73
"Oryzomys_palustris","m10",1.48452233418915e-10,0.198245339236989,11.1,83.8,43.43113445,-9999,-9999,-9999,"Exl","Exl",178.368296393624,100,-0.0537025073392699,0.387054775090667,0.548882776855963,"NS","NS",1317.20065004668,702.975,-9999,-9999,-9999,"Exl","Exl",6774.85166488019,4764,-0.565782837695654,4.97342627990861e-12,1.24335656997715e-10,"Neg","Neg",23.2577884582138,46
"Otospermophilus_beecheyi","m8",0.538754070305717,-0.004382799689578,130.4,980,509.5704444,0.0140197355462202,0.872834108931595,0.893740315133549,"NS","NS",120.214331983806,133,0.0348115928753218,0.693637987297323,0.778119537032253,"NS","NS",720.701336032389,1685,-9999,-9999,-9999,"Exl","Exl",5632.14076923077,4544,-0.0500274005974054,0.559549207828569,0.690008439336523,"NS","NS",74.527004048583,45
"Passerculus_sandwichensis","m8",2.25465695215283e-31,0.110532504883806,10,31.4,18.35569803,-0.214563487873336,2.34130354628976e-07,2.00181453207774e-06,"Neg","Neg",72.3643799309854,364,0.0212220200481962,0.500255427443068,0.639012407317788,"NS","NS",725.31349181117,1521,-0.31241573715023,7.9405717739622e-16,1.28637262738188e-14,"Neg","Neg",8902.4923723331,12802,-0.236071143441736,3.52453225794876e-11,7.70991431426291e-10,"Neg","Neg",44.42131164583,90
"Perisoreus_canadensis","m8",6.65249929590094e-49,0.243537040055043,33.5,103.8,69.09756155,-0.261373787454119,8.33116352016875e-06,4.52935446568899e-05,"Neg","Neg",0.429062179089202,152,-0.198275771110398,2.00481201108889e-07,1.67067667590741e-06,"Neg","Neg",657.542698504899,1328,-0.00332432670578958,0.957736342791716,0.967680153344729,"NS","NS",11201.6149453505,10072,-0.203360548212509,2.1288543547568e-09,3.4482338074394e-08,"Neg","Neg",39.9002578104585,57
"Perognathus_flavus","m8",1.74593318340596e-08,0.118928249665733,3,14,7.086111111,-0.312522750555753,1.51326841211626e-05,7.61084995505531e-05,"Neg","Neg",145.478731731378,138,0.0530058856506531,0.336545465277153,0.494919801878166,"NS","NS",400.973997705365,508,-9999,-9999,-9999,"Exl","Exl",6679.05622929199,7549,0.0337340143375896,0.593022977721717,0.71571738690552,"NS","NS",69.0668661069472,78
"Perognathus_longimembris","m8",0.00038983444384835,0.053901427175242,3,12.2,7.478333333,0.0314365075126176,0.588234750936201,0.69371132696614,"NS","NS",152.045780434938,150,0.161305518982237,0.0193988374134072,0.0538856594816867,"NS","Pos",215.606769406665,396,-9999,-9999,-9999,"Exl","Exl",7161.6207274373,5613.45,0.137075868965715,0.0414995796653744,0.0875471338767154,"NS","Pos",48.8582045113498,74
"Perognathus_parvus","m8",0.000747673041966265,0.0371749259135261,6,31,16.61161826,-0.127906894247839,0.03716315666868,0.0738941836086544,"NS","Neg",82.5494041388935,92,0.0047737528527269,0.939726484825433,0.939726484825433,"NS","NS",308.081749573073,434,-9999,-9999,-9999,"Exl","Exl",7988.97851594778,3295,-0.143983798470555,0.0314756616539571,0.0711656963603057,"NS","Neg",32.0665821994528,47
"Peromyscus_boylii","m8",6.30610473843803e-20,0.0532531669598029,6.6,43.1,22.56788313,-0.0247392783618638,0.395772410932467,0.524628544724433,"NS","NS",137.156983761481,151,0.162710017574268,3.14439626573197e-08,3.05705192501719e-07,"Pos","Pos",474.497376327886,1081,-9999,-9999,-9999,"Exl","Exl",6433.71327073043,6259,-0.0390695931522186,0.159630877368804,0.276588153856839,"NS","NS",67.8000530726496,82
"Peromyscus_crinitus","m10",1.91042943453636e-07,0.0916095013477988,7,27.5,14.67166227,-0.195210687238775,0.00402071054546372,0.0112711721848245,"Neg","Neg",138.688187535735,166,-0.00980571087670203,0.886834493399973,0.919864310341219,"NS","NS",235.330131503716,432,-9999,-9999,-9999,"Exl","Exl",7463.2590051458,5290,0.0915375238091223,0.09777602609043,0.188030819404673,"NS","NS",45.1420011435106,64
"Peromyscus_eremicus","m8",1.25970329582913e-28,0.109197326127769,4.8,36.98,19.09811784,-0.0749904744329015,0.0157210185615639,0.0349129113510055,"Neg","Neg",182.555286700848,128,0.170015562958155,1.1338160274212e-07,9.9208902399355e-07,"Pos","Pos",342.616668410589,692,-9999,-9999,-9999,"Exl","Exl",6100.22279481009,5431.625,-0.112095880598443,0.000480528620456311,0.00240264310228156,"Neg","Neg",74.9814010672805,81
"Peromyscus_leucopus","m10",2.20956774781304e-47,0.118502566516957,6,41.2,21.45279844,0.132513594588867,4.87625229189408e-06,2.97799693540674e-05,"Pos","Pos",135.621920552184,198,-0.142957667214779,1.67682881143547e-06,1.22268767500503e-05,"Neg","Neg",899.160424308762,1289,-9999,-9999,-9999,"Exl","Exl",7919.33768887538,8830.5,0.0860042685639656,0.0131141097468284,0.0417267128308176,"Pos","Pos",39.0224743489168,87
"Peromyscus_truei","m8",4.35807343957589e-27,0.0827017608606213,6.5,44.1,22.35268387,0.120868879393649,5.29644440467486e-05,0.000244781619783622,"Pos","Pos",105.381609491875,123,0.0654338887458733,0.0239749516737397,0.0626211424314097,"NS","Pos",411.843349668988,1145,-9999,-9999,-9999,"Exl","Exl",7409.13082495056,5378.825,0.0150991498350002,0.623581573440782,0.742359016000931,"NS","NS",49.9734868025105,74
